<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	07:00:00	666.38	667.20	663.01	663.90	297	0	20
2025.12.29	07:10:00	663.81	664.03	658.08	659.42	292	0	20
2025.12.29	07:20:00	659.57	659.98	655.78	655.88	293	0	20
2025.12.29	07:30:00	655.57	656.63	652.39	652.39	295	0	20
2025.12.29	07:40:00	652.40	653.14	650.10	650.45	296	0	20
2025.12.29	07:50:00	650.51	653.18	649.79	650.48	296	0	20
2025.12.29	08:00:00	650.40	650.95	647.62	648.68	290	0	20
2025.12.29	08:10:00	648.82	650.95	647.41	648.22	294	0	20
2025.12.29	08:20:00	648.10	649.21	646.40	647.05	295	0	20
2025.12.29	08:30:00	647.05	649.16	645.11	647.72	296	0	20
2025.12.29	08:40:00	647.63	648.73	646.39	646.75	293	0	20
2025.12.29	08:50:00	646.87	646.97	643.50	646.30	292	0	20
2025.12.29	09:00:00	646.36	648.18	641.97	643.22	289	0	20
2025.12.29	09:10:00	642.95	643.67	636.94	637.31	293	0	20
2025.12.29	09:20:00	637.27	639.48	635.32	635.32	290	0	20
2025.12.29	09:30:00	635.30	638.65	634.03	638.31	290	0	20
2025.12.29	09:40:00	638.60	639.10	633.89	633.89	291	0	20
2025.12.29	09:50:00	633.84	635.34	629.01	629.47	294	0	20
2025.12.29	10:00:00	629.61	630.05	627.12	629.72	293	0	20
2025.12.29	10:10:00	629.72	631.98	628.61	630.98	294	0	20
2025.12.29	10:20:00	631.00	634.18	631.00	633.58	294	0	20
2025.12.29	10:30:00	633.64	633.64	627.90	628.39	293	0	20
2025.12.29	10:40:00	628.78	631.78	627.89	630.19	295	0	20
2025.12.29	10:50:00	630.28	636.68	629.53	636.66	294	0	20
2025.12.29	11:00:00	636.70	639.01	636.27	638.32	289	0	20
2025.12.29	11:10:00	638.16	639.91	637.11	639.09	292	0	20
2025.12.29	11:20:00	639.07	640.08	637.47	639.44	292	0	20
2025.12.29	11:30:00	639.65	640.67	638.57	639.40	294	0	20
2025.12.29	11:40:00	639.57	640.16	638.03	638.75	295	0	20
2025.12.29	11:50:00	638.69	641.50	638.14	639.05	290	0	20
2025.12.29	12:00:00	639.17	644.86	638.94	643.92	293	0	20
2025.12.29	12:10:00	643.90	644.62	642.17	643.66	295	0	20
2025.12.29	12:20:00	643.40	645.29	642.25	642.64	293	0	20
2025.12.29	12:30:00	642.46	642.79	636.70	639.25	288	0	20
2025.12.29	12:40:00	639.52	644.78	638.36	643.54	294	0	20
2025.12.29	12:50:00	643.67	645.00	642.09	644.70	291	0	20
2025.12.29	13:00:00	644.51	644.70	640.44	642.78	291	0	20
2025.12.29	13:10:00	642.88	644.02	641.56	643.37	290	0	20
2025.12.29	13:20:00	643.26	643.34	639.01	640.24	290	0	20
2025.12.29	13:30:00	640.37	645.60	640.07	643.68	294	0	20
2025.12.29	13:40:00	643.84	647.27	643.24	647.04	292	0	20
2025.12.29	13:50:00	647.44	649.78	647.18	647.88	292	0	20
2025.12.29	14:00:00	647.93	649.59	646.55	648.64	290	0	20
2025.12.29	14:10:00	648.74	650.11	647.28	649.44	290	0	20
